Module,Total,Sino,Medi
Turquoise,997,0,997
Blue,252,0,252
Brown,263,0,263
Yellow,225,225,0
Green,137,0,137
Red,61,0,61
Black,74,26,48
Pink,122,122,0
Magenta,33,0,33
Purple,86,0,86
Greenyellow,33,0,33
Tan,77,0,77
Salmon,75,0,75
Cyan,59,0,59
Midnightblue,13,0,13
Lightcyan,17,0,17
Grey60,17,0,17
Lightgreen,13,13,0
Lightyellow,18,0,18
