"","GeneID","Module"
"184","CDO30_RS00095","green"
"185","CDO30_RS02645","brown"
"186","CDO30_RS09070","brown"
"187","CDO30_RS00845","turquoise"
"188","CDO30_RS25215","red"
"189","CDO30_RS01540","green"
"190","CDO30_RS11060","red"
"191","CDO30_RS09750","turquoise"
"192","CDO30_RS06120","green"
"193","CDO30_RS17260","grey"
"194","CDO30_RS15805","brown"
"195","CDO30_RS30155","blue"
"196","CDO30_RS17805","turquoise"
"197","CDO30_RS08580","turquoise"
"198","CDO30_RS14515","blue"
"199","CDO30_RS04895","black"
"200","CDO30_RS26350","blue"
"201","CDO30_RS06680","brown"
"202","CDO30_RS10970","brown"
"203","CDO30_RS08050","brown"
"204","CDO30_RS24710","grey"
"205","CDO30_RS16905","grey"
"206","CDO30_RS08860","turquoise"
"207","CDO30_RS14630","brown"
"208","CDO30_RS19280","green"
"209","CDO30_RS02620","grey"
"210","CDO30_RS05300","blue"
"211","CDO30_RS03740","turquoise"
"212","CDO30_RS19840","yellow"
"213","CDO30_RS09665","turquoise"
"214","CDO30_RS19805","yellow"
"215","CDO30_RS03970","turquoise"
"216","CDO30_RS21340","grey"
"217","CDO30_RS25380","blue"
"218","CDO30_RS14980","brown"
"219","CDO30_RS19530","yellow"
"220","CDO30_RS12035","green"
"221","CDO30_RS32765","turquoise"
"222","CDO30_RS00745","blue"
"223","CDO30_RS07095","turquoise"
"224","CDO30_RS16520","turquoise"
"225","CDO30_RS06620","brown"
"226","CDO30_RS09765","turquoise"
"227","CDO30_RS01690","blue"
"228","CDO30_RS25985","blue"
"229","CDO30_RS05990","brown"
"230","CDO30_RS18110","yellow"
"231","CDO30_RS09845","turquoise"
"232","CDO30_RS12920","turquoise"
"233","CDO30_RS00715","grey"
"234","CDO30_RS03900","yellow"
"235","CDO30_RS00120","brown"
"236","CDO30_RS07985","blue"
"237","CDO30_RS13385","blue"
"238","CDO30_RS16720","turquoise"
"239","CDO30_RS01360","blue"
"240","CDO30_RS19780","yellow"
"241","CDO30_RS06115","turquoise"
"242","CDO30_RS18120","yellow"
"243","CDO30_RS11965","black"
"244","CDO30_RS09680","turquoise"
"245","CDO30_RS00320","blue"
"246","CDO30_RS27190","blue"
"247","CDO30_RS12875","green"
"248","CDO30_RS19800","yellow"
"249","CDO30_RS12040","green"
"250","CDO30_RS10715","green"
"251","CDO30_RS12870","brown"
"252","CDO30_RS31640","turquoise"
"253","CDO30_RS34880","blue"
"254","CDO30_RS11705","blue"
"255","CDO30_RS19205","grey"
"256","CDO30_RS03155","yellow"
"257","CDO30_RS05105","black"
"258","CDO30_RS00695","green"
"259","CDO30_RS00980","turquoise"
"260","CDO30_RS11290","turquoise"
"261","CDO30_RS00635","blue"
"262","CDO30_RS22625","black"
"263","CDO30_RS03145","yellow"
"264","CDO30_RS31100","blue"
"265","CDO30_RS04225","blue"
"266","CDO30_RS16415","turquoise"
"267","CDO30_RS01840","turquoise"
"268","CDO30_RS29635","black"
"269","CDO30_RS17355","grey"
"270","CDO30_RS16060","blue"
"271","CDO30_RS03280","black"
"272","CDO30_RS02875","turquoise"
"273","CDO30_RS03835","grey"
"274","CDO30_RS17010","turquoise"
"275","CDO30_RS17975","yellow"
"276","CDO30_RS08080","turquoise"
"277","CDO30_RS11990","turquoise"
"278","CDO30_RS23675","grey"
"279","CDO30_RS19605","grey"
"280","CDO30_RS14645","turquoise"
"281","CDO30_RS02240","blue"
"282","CDO30_RS03880","turquoise"
"283","CDO30_RS10420","grey"
"284","CDO30_RS05195","brown"
"285","CDO30_RS11185","blue"
"286","CDO30_RS00345","green"
"287","CDO30_RS06820","turquoise"
"288","CDO30_RS07915","turquoise"
"289","CDO30_RS33350","blue"
"290","CDO30_RS05655","turquoise"
"291","CDO30_RS06165","turquoise"
"292","CDO30_RS29575","turquoise"
"293","CDO30_RS14415","turquoise"
