"","MEyellow","MEgreen","MEpurple","MEgrey60","MElightgreen","MEturquoise","MEblue","MEcyan","MEmidnightblue","MEbrown","MEred","MEtan","MEgreenyellow","MElightyellow","MEsalmon","MEpink","MEblack","MElightcyan","MEmagenta","MEgrey"
"SRR18707692",-0.0432422160620791,0.0995092854989693,-0.102392653142037,-0.186832468551065,-0.122841688953573,0.121280844005382,0.102601368201102,0.206975873826103,-0.0764033552971115,0.0321903842520686,0.00426840251093727,0.0264425385995481,-0.0430482204136061,-0.133452993873675,-0.0282255188110118,0.133932713877377,0.00540535064723657,0.168528749990305,0.170635146036862,0.0796893380267136
"SRR18707695",0.187335216445391,0.24738295439506,0.161107949358233,-0.187016680004436,0.0339099682400319,-0.0896409318191255,0.0418010078809613,0.132888498380423,-0.0365775350212511,-0.0613939539996419,0.0212379822655095,0.00087537459106346,-0.00424257399657202,0.286554118191522,-0.0503762792068594,-0.0234763944407427,-0.0412796313649608,0.1651757435542,0.156822948986311,-0.00533924816261061
"SRR18707696",-0.101812741428586,-0.0618093672400397,-0.225313453726802,-0.173867345987622,-0.143351591086169,0.0953396917923489,0.0242078768297561,-0.247906018845253,0.256967629392913,-0.00373217128661518,0.0168146896437857,0.117090911205868,-0.0491163517218355,-0.209075179820334,-0.000974217221037077,0.0315643081565729,-0.0573756516386805,0.136362085601425,0.147991492461781,-0.311512177887107
"SRR18707697",0.00557534994355918,-0.13098850353021,0.0924556797193342,0.049110726261505,0.105149083551363,-0.206757849185822,-0.225820056959697,-0.0806799374938745,-0.0938791704927814,0.111420536457544,0.0147931198743283,-0.0220981918525358,0.0974266110641756,-0.229818804943388,-0.0957549152349277,0.136744839147763,0.0120719228343245,-0.117717861158472,-0.105591653448658,0.26562392688562
"SRR18707698",0.0595075894480118,0.0900396191330632,0.140426926076167,-0.178159059817671,-0.182320952684923,-0.269852835497362,-0.100310401141308,-0.283543438101609,0.0880617375037201,-0.1871967847314,-0.0816399068238466,-0.0542361912131992,-0.124638912055605,-0.0785387682076329,-0.0562373656200872,0.0714605979659055,-0.0309894607888914,0.115078085720077,0.126578574726388,-0.196286397963515
"SRR18707701",0.0792803432016521,0.190041605602031,0.185646249964446,0.0743454883773252,0.0301462087280186,-0.119538846019899,0.0327343384458213,0.0838026683772522,-0.0341562990600028,-0.118227611587507,-0.019296172576004,-0.148361435576391,0.00905303485973967,0.163661030756788,-0.0346594984848006,-0.0699836560698455,-0.0532780892454912,0.179539117745858,-0.129865849018302,-0.0364219364432407
"SRR18707702",0.0713522672590328,-0.0523532777303649,-0.0680880966074444,0.0516355733893636,0.144678976787192,0.0447845284073671,-0.0102599822978317,-0.00994034973261396,0.0257309978923426,0.0722737813217939,-0.0465879682771943,0.0414380965357264,-0.2113531376232,-0.280472924801553,-0.0373041722628582,0.176567080783372,-0.0235717023658946,-0.136428832909029,-0.0927643391463155,0.256425265298498
"SRR18707703",0.234793323533105,0.181159920032732,-0.00411327485283875,0.0529198371206754,0.310420448581332,0.116066979617196,0.282340178834315,0.199746970778743,-0.0372686536341693,-0.260770691273562,-0.144466412809164,-0.14870547242526,-0.0368142897753996,-0.0829410161421788,0.0249715184744702,0.122792006754734,-0.0522740341539916,-0.0890366941375984,-0.0747991827865852,-0.0238839937516146
"SRR18707704",0.0763972409961357,0.20263795225273,0.118521568493862,0.0679485443896881,0.29195685301102,0.0636869322726614,0.272773470735855,0.227012642326613,-0.190883658338221,-0.313813506041046,-0.199857014886742,-0.178961929942577,-0.0718446510521875,0.0260396867059558,0.0322620168495263,-0.110878379136159,-0.032965283346376,-0.154206956315046,-0.109511899281145,0.0758911701419583
"SRR18707706",-0.0262709091860537,-0.151902522166702,-0.150650822313625,-0.0372116337020438,-0.0185806151838158,-0.110198637917403,-0.166129058276307,0.0159243208499497,0.0636369359416665,0.0849566592596287,0.057200767658023,0.38723801071391,-0.119849186525568,0.000774409265416296,-0.000382828167502818,-0.0654870967583756,0.03097546420572,0.095097604972019,0.10602393306359,0.139704568810447
"SRR18707707",0.0610760546625066,-0.0456871403266653,0.0410247148246103,0.069834782403807,0.0523864001150424,0.129743190685687,0.0853423974557485,0.0389236007772824,-0.0442217700656175,0.0232418891927736,-0.0260427279876378,-0.0130203937452632,0.0681436560543683,0.0482637734708833,-0.0244227104338104,-0.216001231126533,-0.0857871190079029,-0.170199153185153,-0.0797745631711738,-0.298432508737051
"SRR18707708",-0.0307483060181023,-0.134919584207227,0.0946386021298398,0.0747764610908373,-0.0913780262636079,-0.195805930875631,-0.249154246216943,-0.362822564667945,0.156188903628884,0.131233162673954,0.165270813678258,0.16444117801084,0.045175534058049,0.0223599088566294,-0.0918500921219358,-0.0758990066265144,-0.0695328869626058,-0.144053210845235,-0.0992931542646918,-0.282278205228352
"SRR18707709",-0.278680958773324,-0.169021156850756,-0.1249882866299,0.102243262513855,-0.0442258615651465,0.183346788001711,0.0309371848384302,-0.142972384865903,0.0177880598254008,0.120261688338148,0.119283065417663,0.103399554911842,0.286347963951118,0.0333020211767116,0.0183358330814022,-0.0918371264788956,-0.0983266139839994,-0.144769337084219,-0.0875265705426595,-0.0817899789396126
"SRR18707711",-0.399867417628221,-0.268402775040485,-0.130235929711908,0.096795815831778,-0.167089874444669,0.200823987148936,-0.0246463700717154,-0.0646658275998526,-0.0450989396963479,0.187136109224994,0.0649268729382213,0.109562835132221,-0.0648019350117202,-0.167441806106605,-0.0749498329735491,-0.0628958510804762,0.516382181351315,0.147200775060223,0.290743121286947,-0.0881627424777463
"SRR18707713",0.0619619845730591,0.0157965170788218,-0.0943331849084253,-0.400982205764736,-0.0599242095891555,0.0752782899019044,0.0857915991223212,0.184783665045835,-0.0458945329621594,-0.00677707702975869,-0.141565894427929,-0.0962273137034692,-0.211360677502039,-0.196717800118481,-0.0264329005044006,-0.016161763451997,-0.0865537807229894,0.168294963710306,0.269435792395732,-0.0545144055275508
"SRR18707714",0.0851789836028075,0.0808726370532739,-0.0241351002371269,-0.124145534332684,-0.193273810266132,-0.037362851363608,-0.0103552448507466,0.0580926823106029,0.0465737567851645,0.0336540425622507,0.0317017228865706,0.0103280123208305,-0.0886720444129538,-0.115312890705079,0.0158292456999647,0.296793329538917,0.0214416572121663,0.129434051845563,0.100680786534621,0.0796398158534365
"SRR18707716",-0.115860584324755,0.017713029664221,0.0327126649036693,0.0468401727495504,-0.084442426907809,0.030936388772194,0.068542596441327,0.104996189586892,-0.0371915002564559,-0.0198609494163442,-0.100775166390111,0.00516818731685036,0.0693620913925169,0.0775063643107017,0.0329439147002445,-0.198655801960367,-0.0968268648323262,-0.0735951811038232,-0.0591978669979824,-0.242347926111038
