"","GeneID","Module"
"136","MtrunA17_Chr1g0170851","green"
"137","MtrunA17_Chr3g0135321","blue"
"138","MtrunA17_Chr5g0435611","blue"
"139","MtrunA17_Chr2g0333191","turquoise"
"140","MtrunA17_Chr2g0317781","turquoise"
"141","MtrunA17_Chr2g0309341","blue"
"142","MtrunA17_Chr8g0393021","purple"
"143","MtrunA17_Chr8g0378071","brown"
"144","MtrunA17_Chr1g0146151","brown"
"145","MtrunA17_Chr4g0021521","black"
"146","MtrunA17_Chr5g0423371","green"
"147","MtrunA17_Chr4g0074851","turquoise"
"148","MtrunA17_Chr5g0427791","turquoise"
"149","MtrunA17_Chr3g0118181","brown"
"150","MtrunA17_Chr1g0189151","blue"
"151","MtrunA17_Chr7g0233281","turquoise"
"152","MtrunA17_Chr5g0411151","tan"
"153","MtrunA17_Chr2g0329451","blue"
"154","MtrunA17_Chr1g0208751","yellow"
"155","MtrunA17_Chr8g0391971","blue"
"156","MtrunA17_Chr3g0100541","blue"
"157","MtrunA17_Chr7g0220531","grey"
"158","MtrunA17_Chr1g0179211","blue"
"159","MtrunA17_Chr2g0317411","turquoise"
"160","MtrunA17_Chr4g0055281","blue"
"161","MtrunA17_Chr4g0046801","turquoise"
"162","MtrunA17_Chr3g0135351","blue"
"163","MtrunA17_Chr4g0025401","brown"
"164","MtrunA17_Chr4g0029481","brown"
"165","MtrunA17_Chr3g0110261","blue"
"166","MtrunA17_Chr8g0393121","brown"
"167","MtrunA17_Chr4g0059701","turquoise"
"168","MtrunA17_Chr7g0264521","turquoise"
"169","MtrunA17_Chr3g0131711","turquoise"
"170","MtrunA17_Chr4g0074041","turquoise"
"171","MtrunA17_Chr8g0338461","blue"
"172","MtrunA17_Chr8g0342971","brown"
"173","MtrunA17_Chr1g0205651","turquoise"
"174","MtrunA17_Chr4g0073891","brown"
"175","MtrunA17_Chr5g0431511","blue"
"176","MtrunA17_Chr1g0180791","turquoise"
"177","MtrunA17_Chr5g0416021","blue"
"178","MtrunA17_Chr5g0433901","blue"
"179","MtrunA17_Chr1g0187751","yellow"
"180","MtrunA17_Chr1g0210221","turquoise"
"181","MtrunA17_Chr1g0184661","turquoise"
"182","MtrunA17_Chr3g0125761","blue"
"183","MtrunA17_Chr7g0225451","blue"
"184","MtrunA17_Chr6g0478521","blue"
"185","MtrunA17_Chr8g0342881","grey"
"186","MtrunA17_Chr4g0066651","turquoise"
"187","MtrunA17_Chr5g0440591","turquoise"
"188","MtrunA17_Chr8g0380421","blue"
"189","MtrunA17_Chr3g0117661","green"
"190","MtrunA17_Chr8g0355811","red"
"191","MtrunA17_Chr4g0048591","blue"
"192","MtrunA17_Chr4g0058021","blue"
"193","MtrunA17_Chr1g0185251","blue"
"194","MtrunA17_Chr7g0220311","turquoise"
"195","MtrunA17_Chr2g0282211","turquoise"
"196","MtrunA17_Chr2g0295141","blue"
"197","MtrunA17_Chr3g0109691","tan"
"198","MtrunA17_Chr3g0122971","blue"
"199","MtrunA17_Chr4g0046331","turquoise"
"200","MtrunA17_Chr4g0029541","pink"
"201","MtrunA17_Chr5g0423001","blue"
"202","MtrunA17_Chr4g0057571","blue"
"203","MtrunA17_Chr5g0406121","turquoise"
"204","MtrunA17_Chr6g0484481","tan"
"205","MtrunA17_Chr4g0033161","brown"
"206","MtrunA17_Chr1g0149461","turquoise"
"207","MtrunA17_Chr4g0073041","blue"
"208","MtrunA17_Chr4g0033791","brown"
"209","MtrunA17_Chr1g0159461","blue"
"210","MtrunA17_Chr1g0179241","green"
"211","MtrunA17_Chr8g0378571","blue"
