"","MEblue","MEmidnightblue","MEtan","MEcyan","MElightcyan","MEmagenta","MEbrown","MEgreenyellow","MEgreen","MEyellow","MEblack","MEred","MEsalmon","MEpurple","MEpink","MEturquoise","MEgrey"
"SRR18707692",0.0247961548338533,-0.00178335322467841,0.0174868014054863,-0.191751745742956,-0.123765887351519,-0.0495816928184505,0.104698291265488,0.216731507872569,-0.0934601423200933,0.12836048241606,-0.0381396225064688,0.174803177822816,0.171612391689335,-0.029618269335775,0.00532479796221601,0.127987782926635,-0.108948512170272
"SRR18707695",-0.0483201334611767,0.0473674749754979,-0.00748864070405264,-0.191853608083,0.287639459825691,-0.00775403186617118,0.0647986740544606,0.132886161172604,0.189922230436528,0.262951773833897,-0.0531212233592019,0.158519103045935,0.167230114761269,-0.065476648597133,0.0198121995764758,-0.0904130722284833,-0.0810756026100484
"SRR18707696",0.0389045059528651,-0.233419135684103,-0.17599585328001,-0.169224602651608,-0.203399120713943,-0.0226332688551634,6.10526082234775e-05,-0.226944377519585,-0.225081534792166,-0.0709298854909819,0.0108282270113321,0.135271190776587,0.157264854954427,0.0358917434149959,0.158088897944965,0.0865075072715292,-0.0602336418389732
"SRR18707697",0.0535916899874268,0.156373133386487,0.24098752087766,0.0310225805414117,-0.234974746617564,0.110588793060418,-0.213267159222589,-0.10608926290707,0.0685980257865935,-0.124044187045804,-0.0606992385245863,-0.100626364978272,-0.113335524973883,-0.112517283201223,-0.179713277731164,-0.207987977078425,-0.279653653647806
"SRR18707698",-0.161753425873133,-0.0816531254601558,-0.0860305166401127,-0.170348877772512,-0.084959120705382,-0.0983712929159029,-0.0753564259809481,-0.287463622348428,0.148177058522267,0.0643898498971098,0.00730611795009462,0.11738558078903,0.136663862413355,-0.0483018529419167,-0.0672557416100009,-0.271716301259324,-0.0614121887962373
"SRR18707701",-0.111445870979363,0.0438640578388609,-0.0320088062384079,0.0671146030401535,0.161316336607182,-0.00709684486901358,0.0583969265532455,0.0830448741084943,0.197795846036766,0.18884446792018,-0.0677915037138799,-0.140014843507459,0.167627919245503,-0.0475769740507777,-0.0305340625333208,-0.116552655529636,0.146238155627749
"SRR18707702",0.0385850078875692,-0.024971553668718,0.105527482368507,0.0359802492664834,-0.281559111609503,-0.225217864857369,-0.0128703202684095,-0.0249079457637683,-0.081239705625701,-0.037285960763551,-0.0586701381735145,-0.0878929597421386,-0.132839156546491,-0.0488300539250039,-0.00704054409692437,0.0474809122347143,-0.342903788755216
"SRR18707703",-0.21668193745189,-0.280978860093242,-0.275404496772633,0.0463256367156384,-0.0790131161142733,-0.0101241874847031,0.278491049867295,0.203768570796758,-0.00443630609826949,0.177782525421493,-0.018834794248391,-0.0663531206891296,-0.104945123976178,0.0303095101726035,0.0421219579011363,0.126480427267224,-0.103162709417653
"SRR18707704",-0.277070945336159,-0.147477076529033,-0.295140773306629,0.0657298817511407,0.035758153978884,-0.0870215035664743,0.282091556009496,0.220149913152171,0.106660857566524,0.20506282384919,-0.0265547796640425,-0.0972034878342291,-0.16599576564633,0.0378817274057793,-0.0813636158489771,0.0836261817774542,0.0946958087516065
"SRR18707706",0.116202417026652,0.0538747813263096,0.0388635631558877,-0.0394282592029247,-0.0041635247393279,-0.114434704542463,-0.167989450820904,0.00841088565046171,-0.14694602493303,-0.164118486529996,0.0451771022561376,0.118305382949958,0.0853316086593646,0.0218606498215328,0.0565904788671993,-0.119506787969063,-0.0690688316088458
