"","GeneID","Module"
"183","CDO30_RS16725","yellow"
"184","CDO30_RS00095","blue"
"185","CDO30_RS02645","black"
"186","CDO30_RS09070","black"
"187","CDO30_RS00845","yellow"
"188","CDO30_RS25215","lightcyan"
"189","CDO30_RS01540","blue"
"190","CDO30_RS11060","blue"
"191","CDO30_RS09750","yellow"
"192","CDO30_RS06120","grey"
"193","CDO30_RS17260","turquoise"
"194","CDO30_RS15805","black"
"195","CDO30_RS30155","pink"
"196","CDO30_RS17805","yellow"
"197","CDO30_RS08580","yellow"
"198","CDO30_RS14515","pink"
"199","CDO30_RS04895","blue"
"200","CDO30_RS26350","pink"
"201","CDO30_RS06680","black"
"202","CDO30_RS10970","black"
"203","CDO30_RS08050","black"
"204","CDO30_RS24710","blue"
"205","CDO30_RS16905","grey"
"206","CDO30_RS08860","yellow"
"207","CDO30_RS14630","grey"
"208","CDO30_RS19280","blue"
"209","CDO30_RS02620","brown"
"210","CDO30_RS05300","brown"
"211","CDO30_RS03740","yellow"
"212","CDO30_RS19840","lightgreen"
"213","CDO30_RS09665","yellow"
"214","CDO30_RS19805","magenta"
"215","CDO30_RS03970","yellow"
"216","CDO30_RS21340","grey"
"217","CDO30_RS25380","brown"
"218","CDO30_RS14980","black"
"219","CDO30_RS19530","lightgreen"
"220","CDO30_RS12035","tan"
"221","CDO30_RS32765","black"
"222","CDO30_RS00745","pink"
"223","CDO30_RS07095","turquoise"
"224","CDO30_RS16520","yellow"
"225","CDO30_RS06620","black"
"226","CDO30_RS09765","yellow"
"227","CDO30_RS01690","pink"
"228","CDO30_RS25985","pink"
"229","CDO30_RS05990","black"
"230","CDO30_RS18110","lightgreen"
"231","CDO30_RS09845","yellow"
"232","CDO30_RS12920","green"
"233","CDO30_RS00715","turquoise"
"234","CDO30_RS03900","magenta"
"235","CDO30_RS00120","yellow"
"236","CDO30_RS07985","pink"
"237","CDO30_RS13385","pink"
"238","CDO30_RS16720","yellow"
"239","CDO30_RS01360","pink"
"240","CDO30_RS19780","magenta"
"241","CDO30_RS06115","turquoise"
"242","CDO30_RS18120","lightgreen"
"243","CDO30_RS11965","blue"
"244","CDO30_RS09680","yellow"
"245","CDO30_RS00320","grey"
"246","CDO30_RS27190","grey"
"247","CDO30_RS12875","turquoise"
"248","CDO30_RS19800","lightgreen"
"249","CDO30_RS12040","turquoise"
"250","CDO30_RS10715","blue"
"251","CDO30_RS12870","black"
"252","CDO30_RS31640","grey"
"253","CDO30_RS34880","pink"
"254","CDO30_RS11705","grey"
"255","CDO30_RS19205","magenta"
"256","CDO30_RS03155","red"
"257","CDO30_RS05105","blue"
"258","CDO30_RS00695","grey"
"259","CDO30_RS00980","yellow"
"260","CDO30_RS11290","yellow"
"261","CDO30_RS00635","blue"
"262","CDO30_RS22625","green"
"263","CDO30_RS03145","grey"
"264","CDO30_RS31100","blue"
"265","CDO30_RS04225","pink"
"266","CDO30_RS16415","yellow"
"267","CDO30_RS01840","yellow"
"268","CDO30_RS29635","grey"
"269","CDO30_RS17355","grey"
"270","CDO30_RS16060","brown"
"271","CDO30_RS03280","green"
"272","CDO30_RS02875","yellow"
"273","CDO30_RS03835","lightcyan"
"274","CDO30_RS17010","blue"
"275","CDO30_RS17975","lightgreen"
"276","CDO30_RS08080","yellow"
"277","CDO30_RS11990","yellow"
"278","CDO30_RS23675","greenyellow"
"279","CDO30_RS19605","grey"
"280","CDO30_RS14645","yellow"
"281","CDO30_RS02240","pink"
"282","CDO30_RS03880","yellow"
"283","CDO30_RS10420","cyan"
"284","CDO30_RS05195","black"
"285","CDO30_RS11185","turquoise"
"286","CDO30_RS00345","blue"
"287","CDO30_RS06820","yellow"
"288","CDO30_RS07915","yellow"
"289","CDO30_RS33350","pink"
"290","CDO30_RS05655","yellow"
"291","CDO30_RS06165","yellow"
"292","CDO30_RS29575","yellow"
"293","CDO30_RS14415","yellow"
"294","CDO30_RS29570","yellow"
"295","CDO30_RS27165","pink"
"296","CDO30_RS09985","pink"
"297","CDO30_RS26915","turquoise"
"298","CDO30_RS17730","yellow"
"299","CDO30_RS05680","pink"
"300","CDO30_RS16760","black"
"301","CDO30_RS06850","yellow"
"302","CDO30_RS11630","blue"
"303","CDO30_RS32110","pink"
"304","CDO30_RS06105","grey"
"305","CDO30_RS11760","black"
"306","CDO30_RS02940","pink"
"307","CDO30_RS15135","yellow"
"308","CDO30_RS06805","yellow"
"309","CDO30_RS11295","black"
"310","CDO30_RS16155","lightcyan"
"311","CDO30_RS06625","yellow"
"312","CDO30_RS17500","yellow"
"313","CDO30_RS11765","black"
"314","CDO30_RS18040","yellow"
"315","CDO30_RS03240","yellow"
"316","CDO30_RS03905","yellow"
"317","CDO30_RS04440","grey"
"318","CDO30_RS03965","yellow"
"319","CDO30_RS09010","black"
"320","CDO30_RS03800","blue"
"321","CDO30_RS31340","grey"
"322","CDO30_RS12960","turquoise"
"323","CDO30_RS17265","magenta"
"324","CDO30_RS31325","pink"
"325","CDO30_RS18215","lightgreen"
"326","CDO30_RS08785","grey"
"327","CDO30_RS05960","black"
"328","CDO30_RS13950","lightcyan"
"329","CDO30_RS10055","black"
"330","CDO30_RS14590","black"
"331","CDO30_RS13280","turquoise"
"332","CDO30_RS21925","turquoise"
"333","CDO30_RS07780","blue"
"334","CDO30_RS08225","yellow"
"335","CDO30_RS16355","black"
"336","CDO30_RS03305","yellow"
"337","CDO30_RS06070","black"
"338","CDO30_RS29700","salmon"
"339","CDO30_RS00475","yellow"
"340","CDO30_RS02310","turquoise"
"341","CDO30_RS13295","yellow"
"342","CDO30_RS14290","grey"
"343","CDO30_RS00280","salmon"
"344","CDO30_RS34280","black"
"345","CDO30_RS19520","blue"
"346","CDO30_RS19835","lightgreen"
"347","CDO30_RS01890","pink"
"348","CDO30_RS21370","turquoise"
"349","CDO30_RS04330","red"
"350","CDO30_RS31165","black"
"351","CDO30_RS09755","yellow"
"352","CDO30_RS03820","green"
"353","CDO30_RS10805","black"
"354","CDO30_RS10070","black"
"355","CDO30_RS13165","black"
